102,77,105.61,2012-05-08
102,103,409.04,2012-05-08
175,37,328.05,2012-05-08
175,2,24.82,2012-05-08
436,88,59.9,2012-05-08
126,96,408.33,2012-05-08
126,80,123.42,2012-05-08
126,98,420.54,2012-05-08
423,36,230.19,2012-05-09
423,18,180.55,2012-05-09
423,21,194.29,2012-05-09
259,45,83.93,2012-05-09
106,90,39.58,2012-05-09
106,53,78.48,2012-05-09
382,7,40.03,2012-05-10
433,51,78.93,2012-05-10
433,7,40.03,2012-05-10
279,16,185.51,2012-05-10
279,77,105.61,2012-05-10
146,27,221.6,2012-05-10
410,18,180.55,2012-05-10
158,98,420.54,2012-05-10
158,96,408.33,2012-05-10
249,74,146.97,2012-05-11
122,66,63.53,2012-05-11
409,70,73.99,2012-05-11
325,94,381.74,2012-05-11
325,95,391.81,2012-05-11
325,87,62.52,2012-05-11
135,34,230.09,2012-05-12
135,23,209.9,2012-05-12
145,22,223.86,2012-05-12
209,37,328.05,2012-05-12
435,7,40.03,2012-05-12
430,101,417.08,2012-05-12
430,20,195.53,2012-05-12
430,93,39.73,2012-05-12
51,26,232.59,2012-05-13
51,88,59.9,2012-05-13
51,27,221.6,2012-05-13
222,102,428.82,2012-05-13
222,44,81.06,2012-05-13
204,84,57.72,2012-05-14
204,34,230.09,2012-05-14
204,80,123.42,2012-05-14
59,58,84.83,2012-05-14
59,83,118.4,2012-05-14
59,33,241.89,2012-05-14
152,37,328.05,2012-05-14
402,64,59.71,2012-05-14
402,89,60.64,2012-05-14
402,27,221.6,2012-05-14
126,54,75.76,2012-05-15
126,76,105.92,2012-05-15
126,83,118.4,2012-05-15
16,66,63.53,2012-05-15
16,55,73.2,2012-05-15
16,47,100.35,2012-05-15
89,74,146.97,2012-05-15
89,81,126.86,2012-05-15
89,70,73.99,2012-05-15
103,51,78.93,2012-05-16
103,38,318.38,2012-05-16
103,24,214.72,2012-05-16
127,51,78.93,2012-05-16
127,89,60.64,2012-05-16
127,94,381.74,2012-05-16
123,49,103.93,2012-05-17
123,95,391.81,2012-05-17
387,60,89.79,2012-05-17
387,24,214.72,2012-05-17
387,10,89.75,2012-05-17
232,71,148.48,2012-05-17
256,58,84.83,2012-05-17
256,92,41.11,2012-05-17
182,76,105.92,2012-05-18
192,10,89.75,2012-05-18
192,45,83.93,2012-05-18
326,88,59.9,2012-05-18
326,49,103.93,2012-05-18
326,29,264.3,2012-05-18
398,84,57.72,2012-05-18
398,68,73.89,2012-05-18
398,35,220.02,2012-05-18
406,3,26.68,2012-05-19
352,12,89.5,2012-05-19
12,79,95.12,2012-05-19
12,84,57.72,2012-05-19
12,102,428.82,2012-05-19
42,94,381.74,2012-05-20
42,96,408.33,2012-05-20
330,71,148.48,2012-05-20
330,36,230.19,2012-05-20
319,103,409.04,2012-05-20
319,31,258.52,2012-05-20
433,60,89.79,2012-05-20
433,96,408.33,2012-05-20
433,23,209.9,2012-05-20
23,6,40.54,2012-05-21
23,63,44.1,2012-05-21
68,98,420.54,2012-05-21
68,23,209.9,2012-05-21
68,45,83.93,2012-05-21
139,71,148.48,2012-05-21
139,12,89.5,2012-05-21
139,93,39.73,2012-05-21
434,69,79.43,2012-05-21
434,91,40.73,2012-05-21
392,12,89.5,2012-05-22
393,33,241.89,2012-05-22
393,19,184.2,2012-05-22
162,61,46.63,2012-05-22
162,91,40.73,2012-05-22
158,90,39.58,2012-05-22
145,82,122.19,2012-05-22
251,102,428.82,2012-05-23
57,54,75.76,2012-05-23
290,43,85.54,2012-05-23
177,52,72.88,2012-05-23
177,20,195.53,2012-05-23
331,90,39.58,2012-05-23
421,53,78.48,2012-05-23
185,34,230.09,2012-05-23
185,81,126.86,2012-05-23
258,43,85.54,2012-05-24
49,50,98.25,2012-05-24
430,32,263.91,2012-05-24
404,12,89.5,2012-05-24
404,34,230.09,2012-05-24
404,3,26.68,2012-05-24
183,48,104.0,2012-05-25
183,66,63.53,2012-05-25
183,19,184.2,2012-05-25
363,32,263.91,2012-05-25
10,20,195.53,2012-05-25
375,72,139.79,2012-05-26
375,63,44.1,2012-05-26
228,18,180.55,2012-05-26
228,81,126.86,2012-05-26
228,41,334.01,2012-05-26
303,91,40.73,2012-05-26
303,80,123.42,2012-05-26
