1,1,3
1,2,8
1,3,2
1,4,3
1,5,7
1,6,7
1,7,3
1,10,5
1,12,10
1,13,6
1,16,1
1,18,3
1,19,4
1,23,3
1,25,2
1,26,3
1,27,7
1,28,12
1,30,1
1,32,6
1,34,4
1,35,8
1,36,9
1,38,1
1,39,2
1,42,9
1,43,7
1,45,2
1,46,5
1,49,5
1,50,6
1,51,10
1,52,3
1,55,4
1,56,3
1,57,2
1,58,8
1,59,3
1,61,4
1,62,4
1,64,10
1,66,3
1,68,1
1,69,3
1,74,3
1,75,2
1,76,4
1,78,8
1,81,10
1,84,2
1,88,2
1,89,3
1,92,6
1,94,4
1,95,6
1,96,2
1,97,5
1,98,8
1,101,5
1,103,2
1,105,8
1,107,2
1,108,1
1,109,6
1,112,6
1,114,5
1,119,2
1,120,1
1,121,1
1,122,8
1,123,3
1,129,3
1,131,10
1,133,7
1,137,2
1,139,3
1,140,11
1,141,17
1,144,2
1,145,5
1,146,9
1,147,4
1,148,1
1,149,5
1,150,3
1,151,3
1,152,7
2,4,1
2,7,5
2,11,5
2,13,4
2,17,2
2,18,1
2,22,1
2,23,1
2,24,10
2,25,4
2,27,3
2,29,5
2,30,5
2,33,4
2,34,1
2,36,6
2,42,3
2,47,3
2,49,4
2,52,3
2,53,4
2,54,5
2,55,1
2,56,5
2,57,5
2,59,4
2,61,5
2,62,5
2,65,5
2,66,4
2,74,8
2,76,8
2,77,6
2,81,5
2,84,5
2,90,3
2,91,5
2,94,7
2,96,1
2,97,4
2,99,3
2,100,3
2,101,10
2,102,5
2,103,1
2,106,4
2,109,4
2,111,2
2,112,1
2,113,5
2,114,4
2,115,2
2,122,6
2,125,2
2,126,2
2,130,2
2,133,2
2,135,2
2,136,5
2,137,5
2,138,5
2,140,3
2,146,6
2,147,3
2,148,3
2,151,5
2,152,5
3,1,3
3,2,3
3,3,6
3,4,1
3,5,2
3,8,3
3,10,5
3,11,5
3,12,6
3,13,5
3,17,2
3,18,11
3,19,1
3,22,5
3,24,10
3,25,3
3,27,12
3,28,11
3,30,4
3,31,8
3,32,6
3,35,8
3,36,2
3,38,1
3,40,3
3,42,6
3,43,2
3,45,1
3,49,8
3,50,3
3,51,10
3,54,5
3,55,4
3,57,1
3,58,4
3,59,7
3,61,4
3,68,5
3,69,3
3,72,13
3,75,1
3,76,1
3,77,2
3,78,4
3,81,5
3,83,3
3,84,6
3,85,1
3,89,5
3,91,5
3,92,3
3,93,4
3,94,1
3,95,4
3,96,1
3,97,14
3,98,9
3,101,3
3,102,3
3,103,1
3,104,4
3,105,4
3,106,12
3,109,14
3,110,3
3,111,1
3,112,5
3,116,4
3,117,3
3,119,2
3,120,1
3,121,4
3,122,5
3,125,8
3,126,13
3,128,2
3,133,4
3,134,11
3,135,2
3,138,12
3,139,5
3,140,4
3,141,8
3,143,4
3,144,1
3,145,1
3,146,7
3,147,4
3,148,1
3,151,3
3,152,2
4,7,2
4,9,1
4,10,2
4,11,1
4,12,7
4,14,5
4,18,2
4,21,3
4,28,4
4,29,10
4,32,9
4,33,6
4,35,8
4,36,4
4,37,4
4,40,1
4,42,3
4,44,6
4,46,3
4,48,4
4,49,6
4,50,6
4,53,1
4,55,5
4,57,2
4,58,3
4,59,7
4,60,3
4,61,4
4,62,8
4,64,3
4,66,1
4,69,5
4,72,3
4,73,6
4,75,4
4,76,6
4,79,15
4,81,5
4,82,1
4,84,8
4,86,3
4,87,4
4,88,4
4,89,5
4,90,10
4,94,1
4,97,12
4,99,1
4,100,3
4,101,7
4,102,8
4,104,10
4,105,3
4,107,9
4,109,8
4,110,2
4,116,2
4,117,5
4,118,2
4,119,1
4,122,2
4,124,15
4,131,3
4,132,4
4,133,2
4,134,4
4,135,1
4,137,2
4,139,13
4,140,3
4,141,3
